SN	Pad-value	Protein name (Annotation)
1061	0.161839	>gi|21241839|ref|NP_641421.1| ATP-dependent Clp protease ATP binding subunit [Xanthomonas axonopodis pv. citri str. 306]
1062	0.080831	>gi|21241840|ref|NP_641422.1| ATP-dependent serine proteinase La [Xanthomonas axonopodis pv. citri str. 306]
1063	0.419159	>gi|21241841|ref|NP_641423.1| histone-like protein [Xanthomonas axonopodis pv. citri str. 306]
1064	0.324855	>gi|21241842|ref|NP_641424.1| peptidyl-prolyl cis-trans isomerase [Xanthomonas axonopodis pv. citri str. 306]
1065	0.486658	>gi|21241843|ref|NP_641425.1| murein hydrolase D [Xanthomonas axonopodis pv. citri str. 306]
1066	0.184177	>gi|21241844|ref|NP_641426.1| hydroxyacylglutathione hydrolase [Xanthomonas axonopodis pv. citri str. 306]
1067	0.188183	>gi|21241845|ref|NP_641427.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1068	0.308154	>gi|21241846|ref|NP_641428.1| ribonuclease H [Xanthomonas axonopodis pv. citri str. 306]
1069	0.088167	>gi|21241847|ref|NP_641429.1| DNA polymerase III epsilon chain [Xanthomonas axonopodis pv. citri str. 306]
1070	0.241556	>gi|21241848|ref|NP_641430.1| protein phosphatase [Xanthomonas axonopodis pv. citri str. 306]
1071	0.217551	>gi|21241849|ref|NP_641431.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1072	0.240164	>gi|21241850|ref|NP_641432.1| saccharide biosynthesis regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1073	0.155830	>gi|21241851|ref|NP_641433.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1074	0.337255	>gi|21241852|ref|NP_641434.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1075	0.188292	>gi|21241853|ref|NP_641435.1| molybdenum cofactor biosynthesis protein A [Xanthomonas axonopodis pv. citri str. 306]
1076	0.149141	>gi|21241854|ref|NP_641436.1| molybdenum cofactor biosynthesis protein C [Xanthomonas axonopodis pv. citri str. 306]
1077	0.427170	>gi|21241855|ref|NP_641437.1| molybdopterin-converting factor chain 1 [Xanthomonas axonopodis pv. citri str. 306]
1078	0.250321	>gi|21241856|ref|NP_641438.1| molybdopterin-converting factor chain 2 [Xanthomonas axonopodis pv. citri str. 306]
1079	0.266743	>gi|21241857|ref|NP_641439.1| heat shock protein G homolog [Xanthomonas axonopodis pv. citri str. 306]
1080	0.057175	>gi|21241858|ref|NP_641440.1| ISxac3 transposase [Xanthomonas axonopodis pv. citri str. 306]
1081	0.129769	>gi|21241859|ref|NP_641441.1| ISxac3 transposase [Xanthomonas axonopodis pv. citri str. 306]
1082	0.108290	>gi|21241860|ref|NP_641442.1| plasmid mobilization protein [Xanthomonas axonopodis pv. citri str. 306]
1083	0.296683	>gi|21241861|ref|NP_641443.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1084	0.108292	>gi|21241862|ref|NP_641444.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1085	0.104838	>gi|21241863|ref|NP_641445.1| integrase [Xanthomonas axonopodis pv. citri str. 306]
1086	0.132398	>gi|21241864|ref|NP_641446.1| DNA polymerase III tau and gamma subunits [Xanthomonas axonopodis pv. citri str. 306]
1087	0.538350	>gi|21241865|ref|NP_641447.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1088	0.353644	>gi|21241866|ref|NP_641448.1| recombination protein RecR [Xanthomonas axonopodis pv. citri str. 306]
1089	0.255217	>gi|21241867|ref|NP_641449.1| histidine triad-like protein [Xanthomonas axonopodis pv. citri str. 306]
1090	0.634671	>gi|21241868|ref|NP_641450.1| outer membrane protein Slp [Xanthomonas axonopodis pv. citri str. 306]
1091	0.294914	>gi|21241869|ref|NP_641451.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1092	0.254632	>gi|21241870|ref|NP_641452.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1093	0.153512	>gi|21241871|ref|NP_641453.1| methanol dehydrogenase regulator [Xanthomonas axonopodis pv. citri str. 306]
1094	0.166920	>gi|21241872|ref|NP_641454.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1095	0.185655	>gi|21241873|ref|NP_641455.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1096	0.224265	>gi|21241874|ref|NP_641456.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1097	0.221207	>gi|21241875|ref|NP_641457.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1098	0.123088	>gi|21241876|ref|NP_641458.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1099	0.104239	>gi|21241877|ref|NP_641459.1| 50S ribosomal protein L32 [Xanthomonas axonopodis pv. citri str. 306]
1100	0.211913	>gi|21241878|ref|NP_641460.1| beta-ketoacyl-[ACP] synthase III [Xanthomonas axonopodis pv. citri str. 306]
1101	0.334319	>gi|21241879|ref|NP_641461.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1102	0.214215	>gi|21241880|ref|NP_641462.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1103	0.231760	>gi|21241881|ref|NP_641463.1| malonyl CoA-ACP transacylase [Xanthomonas axonopodis pv. citri str. 306]
1104	0.590982	>gi|21241882|ref|NP_641464.1| 3-oxoacyl-[ACP] reductase [Xanthomonas axonopodis pv. citri str. 306]
1105	0.171886	>gi|21241883|ref|NP_641465.1| acyl carrier protein [Xanthomonas axonopodis pv. citri str. 306]
1106	0.477374	>gi|21241884|ref|NP_641466.1| 3-oxoacyl-[ACP] synthase II [Xanthomonas axonopodis pv. citri str. 306]
1107	0.080171	>gi|21241885|ref|NP_641467.1| anthranilate synthase component I [Xanthomonas axonopodis pv. citri str. 306]
1108	0.293733	>gi|21241886|ref|NP_641468.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1109	0.252127	>gi|21241887|ref|NP_641469.1| DNA polymerase III delta' subunit [Xanthomonas axonopodis pv. citri str. 306]
1110	0.455696	>gi|21241888|ref|NP_641470.1| type IV fimbriae assembly protein [Xanthomonas axonopodis pv. citri str. 306]
1111	0.377652	>gi|21241889|ref|NP_641471.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1112	0.129785	>gi|21241890|ref|NP_641472.1| propionate catabolism regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1113	0.273736	>gi|21241891|ref|NP_641473.1| carboxyphosphonoenolpyruvate phosphonomutase [Xanthomonas axonopodis pv. citri str. 306]
1114	0.146758	>gi|21241892|ref|NP_641474.1| citrate synthase 2 [Xanthomonas axonopodis pv. citri str. 306]
1115	0.109966	>gi|21241893|ref|NP_641475.1| aconitate hydratase 1 [Xanthomonas axonopodis pv. citri str. 306]
1116	0.593170	>gi|21241894|ref|NP_641476.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1117	0.398785	>gi|21241895|ref|NP_641477.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1118	0.487308	>gi|21241896|ref|NP_641478.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1119	0.452041	>gi|21241897|ref|NP_641479.1| TonB-dependent receptor [Xanthomonas axonopodis pv. citri str. 306]
1120	0.277305	>gi|21241898|ref|NP_641480.1| inosine-uridine preferring nucleoside hydrolase [Xanthomonas axonopodis pv. citri str. 306]
1121	0.129482	>gi|21241899|ref|NP_641481.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1122	0.683370	>gi|21241900|ref|NP_641482.1| TonB-dependent receptor [Xanthomonas axonopodis pv. citri str. 306]
1123	0.139608	>gi|21241901|ref|NP_641483.1| glycerophosphodiester phosphodiesterase [Xanthomonas axonopodis pv. citri str. 306]
1124	0.149951	>gi|21241902|ref|NP_641484.1| bifunctional penicillin-binding protein 1C [Xanthomonas axonopodis pv. citri str. 306]
1125	0.266789	>gi|21241903|ref|NP_641485.1| bacterioferritin [Xanthomonas axonopodis pv. citri str. 306]
1126	0.065724	>gi|21241904|ref|NP_641486.1| peroxiredoxin [Xanthomonas axonopodis pv. citri str. 306]
1127	0.256894	>gi|21241905|ref|NP_641487.1| low molecular weight heat shock protein [Xanthomonas axonopodis pv. citri str. 306]
1128	0.460585	>gi|21241906|ref|NP_641488.1| curved DNA binding protein [Xanthomonas axonopodis pv. citri str. 306]
1129	0.518479	>gi|21241907|ref|NP_641489.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1130	0.239078	>gi|21241908|ref|NP_641490.1| regulatory protein pilH family [Xanthomonas axonopodis pv. citri str. 306]
1131	0.349611	>gi|21241909|ref|NP_641491.1| integral membrane protease subunit [Xanthomonas axonopodis pv. citri str. 306]
1132	0.237898	>gi|21241910|ref|NP_641492.1| integral membrane proteinase subunit [Xanthomonas axonopodis pv. citri str. 306]
1133	0.217427	>gi|21241911|ref|NP_641493.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1134	0.191602	>gi|21241912|ref|NP_641494.1| adenylosuccinate synthetase [Xanthomonas axonopodis pv. citri str. 306]
1135	0.313797	>gi|21241913|ref|NP_641495.1| aminopeptidase N [Xanthomonas axonopodis pv. citri str. 306]
1136	0.336272	>gi|21241914|ref|NP_641496.1| oxidoreductase [Xanthomonas axonopodis pv. citri str. 306]
1137	0.355990	>gi|21241915|ref|NP_641497.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1138	0.313271	>gi|21241916|ref|NP_641498.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1139	0.275340	>gi|21241917|ref|NP_641499.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1140	0.378683	>gi|21241918|ref|NP_641500.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1141	0.362755	>gi|21241919|ref|NP_641501.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1142	0.256010	>gi|21241920|ref|NP_641502.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1143	0.320928	>gi|21241921|ref|NP_641503.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1144	0.321504	>gi|21241922|ref|NP_641504.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1145	0.358972	>gi|21241924|ref|NP_641506.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1146	0.105878	>gi|21241925|ref|NP_641507.1| serine/threonine kinase [Xanthomonas axonopodis pv. citri str. 306]
1147	0.211912	>gi|21241926|ref|NP_641508.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1148	0.273460	>gi|21241927|ref|NP_641509.1| transcriptional regulator uid family [Xanthomonas axonopodis pv. citri str. 306]
1149	0.315675	>gi|21241928|ref|NP_641510.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1150	0.248485	>gi|21241929|ref|NP_641511.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1151	0.503743	>gi|21241930|ref|NP_641512.1| glycosyl hydrolase [Xanthomonas axonopodis pv. citri str. 306]
1152	0.222185	>gi|21241931|ref|NP_641513.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1153	0.629587	>gi|21241932|ref|NP_641514.1| oxidoreductase [Xanthomonas axonopodis pv. citri str. 306]
1154	0.368042	>gi|21241933|ref|NP_641515.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1155	0.154358	>gi|21241934|ref|NP_641516.1| oxidoreductase [Xanthomonas axonopodis pv. citri str. 306]
1156	0.145777	>gi|21241935|ref|NP_641517.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1157	0.257698	>gi|21241936|ref|NP_641518.1| thioredoxin reductase [Xanthomonas axonopodis pv. citri str. 306]
1158	0.293430	>gi|21241937|ref|NP_641519.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1159	0.252357	>gi|21241938|ref|NP_641520.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1160	0.383673	>gi|21241939|ref|NP_641521.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1161	0.149577	>gi|21241940|ref|NP_641522.1| excinuclease ABC subunit A [Xanthomonas axonopodis pv. citri str. 306]
1162	0.143898	>gi|21241941|ref|NP_641523.1| hydroxylase large subunit [Xanthomonas axonopodis pv. citri str. 306]
1163	0.185398	>gi|21241942|ref|NP_641524.1| hydroxylase molybdopterin-containing subunit [Xanthomonas axonopodis pv. citri str. 306]
1164	0.497046	>gi|21241943|ref|NP_641525.1| ferredoxin [Xanthomonas axonopodis pv. citri str. 306]
1165	0.199986	>gi|21241944|ref|NP_641526.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1166	0.121074	>gi|21241945|ref|NP_641527.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1167	0.675186	>gi|21241946|ref|NP_641528.1| tetracenomycin polyketide synthesis protein [Xanthomonas axonopodis pv. citri str. 306]
1168	0.506801	>gi|21241947|ref|NP_641529.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1169	0.382698	>gi|21241948|ref|NP_641530.1| death-on-curing protein [Xanthomonas axonopodis pv. citri str. 306]
1170	0.165051	>gi|21241949|ref|NP_641531.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1171	0.158331	>gi|21241950|ref|NP_641532.1| LexA repressor [Xanthomonas axonopodis pv. citri str. 306]
1172	0.282319	>gi|21241951|ref|NP_641533.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1173	0.238979	>gi|21241952|ref|NP_641534.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1174	0.110626	>gi|21241953|ref|NP_641535.1| DNA polymerase III alpha chain [Xanthomonas axonopodis pv. citri str. 306]
1175	0.260028	>gi|21241954|ref|NP_641536.1| prolyl oligopeptidase family protein [Xanthomonas axonopodis pv. citri str. 306]
1176	0.112814	>gi|21241955|ref|NP_641537.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1177	0.192093	>gi|21241956|ref|NP_641538.1| oligopeptide transporter [Xanthomonas axonopodis pv. citri str. 306]
1178	0.579347	>gi|21241957|ref|NP_641539.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1179	0.703482	>gi|21241958|ref|NP_641540.1| alanyl dipeptidyl peptidase [Xanthomonas axonopodis pv. citri str. 306]
1180	0.568803	>gi|21241959|ref|NP_641541.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1181	0.234318	>gi|21241960|ref|NP_641542.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1182	0.180612	>gi|21241961|ref|NP_641543.1| transcriptional regulator araC/xylS family [Xanthomonas axonopodis pv. citri str. 306]
1183	0.190166	>gi|21241962|ref|NP_641544.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1184	0.483641	>gi|21241963|ref|NP_641545.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1185	0.308719	>gi|21241964|ref|NP_641546.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1186	0.155292	>gi|21241965|ref|NP_641547.1| catalase [Xanthomonas axonopodis pv. citri str. 306]
1187	0.238991	>gi|21241966|ref|NP_641548.1| oxidoreductase [Xanthomonas axonopodis pv. citri str. 306]
1188	0.344172	>gi|21241967|ref|NP_641549.1| carboxylesterase, type B [Xanthomonas axonopodis pv. citri str. 306]
1189	0.118613	>gi|21241968|ref|NP_641550.1| glycine decarboxylase [Xanthomonas axonopodis pv. citri str. 306]
1190	0.142479	>gi|21241969|ref|NP_641551.1| MFS transporter [Xanthomonas axonopodis pv. citri str. 306]
1191	0.127898	>gi|21241970|ref|NP_641552.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1192	0.490041	>gi|21241971|ref|NP_641553.1| dipeptidyl carboxypeptidase [Xanthomonas axonopodis pv. citri str. 306]
1193	0.279177	>gi|21241972|ref|NP_641554.1| inner membrane protein [Xanthomonas axonopodis pv. citri str. 306]
1194	0.238258	>gi|21241973|ref|NP_641555.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1195	0.173487	>gi|21241974|ref|NP_641556.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1196	0.139649	>gi|21241975|ref|NP_641557.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1197	0.197541	>gi|21241976|ref|NP_641558.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
1198	0.283459	>gi|21241977|ref|NP_641559.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1199	0.091143	>gi|21241978|ref|NP_641560.1| cell division topological specificity factor [Xanthomonas axonopodis pv. citri str. 306]
1200	0.168472	>gi|21241979|ref|NP_641561.1| septum site-determining protein [Xanthomonas axonopodis pv. citri str. 306]
1201	0.265284	>gi|21241980|ref|NP_641562.1| cell division inhibitor [Xanthomonas axonopodis pv. citri str. 306]
1202	0.349861	>gi|21241981|ref|NP_641563.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1203	0.308151	>gi|21241982|ref|NP_641564.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
1204	0.206375	>gi|21241983|ref|NP_641565.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1205	0.307469	>gi|21241984|ref|NP_641566.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1206	0.383887	>gi|21241985|ref|NP_641567.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1207	0.082771	>gi|21241986|ref|NP_641568.1| DNA-3-methyladenine glycosylase [Xanthomonas axonopodis pv. citri str. 306]
1208	0.398210	>gi|21241987|ref|NP_641569.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1209	0.186639	>gi|21241988|ref|NP_641570.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1210	0.214109	>gi|21241989|ref|NP_641571.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1211	0.326711	>gi|21241990|ref|NP_641572.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1212	0.182409	>gi|21241991|ref|NP_641573.1| phosphoribosylglycinamide formyltransferase 2 [Xanthomonas axonopodis pv. citri str. 306]
1213	0.342759	>gi|21241992|ref|NP_641574.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1214	0.143581	>gi|21241993|ref|NP_641575.1| arginine-tRNA-protein transferase [Xanthomonas axonopodis pv. citri str. 306]
1215	0.473873	>gi|21241994|ref|NP_641576.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1216	0.692328	>gi|21241995|ref|NP_641577.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1217	0.209485	>gi|21241996|ref|NP_641578.1| pathogenicity-related protein [Xanthomonas axonopodis pv. citri str. 306]
1218	0.176472	>gi|21241997|ref|NP_641579.1| acyl-CoA thiolesterase II [Xanthomonas axonopodis pv. citri str. 306]
1219	0.119590	>gi|21241998|ref|NP_641580.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1220	0.580643	>gi|21241999|ref|NP_641581.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1221	0.194019	>gi|21242000|ref|NP_641582.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1222	0.100613	>gi|21242001|ref|NP_641583.1| excinuclease ABC subunit A [Xanthomonas axonopodis pv. citri str. 306]
1223	0.233148	>gi|21242002|ref|NP_641584.1| 50S ribosomal protein L21 [Xanthomonas axonopodis pv. citri str. 306]
1224	0.166547	>gi|21242003|ref|NP_641585.1| 50S ribosomal protein L27 [Xanthomonas axonopodis pv. citri str. 306]
1225	0.112182	>gi|21242004|ref|NP_641586.1| GTP-binding protein [Xanthomonas axonopodis pv. citri str. 306]
1226	0.384183	>gi|21242005|ref|NP_641587.1| 30S ribosomal protein S20 [Xanthomonas axonopodis pv. citri str. 306]
1227	0.168277	>gi|21242006|ref|NP_641588.1| virulence factor [Xanthomonas axonopodis pv. citri str. 306]
1228	0.096643	>gi|21242007|ref|NP_641589.1| riboflavin biosynthesis protein [Xanthomonas axonopodis pv. citri str. 306]
1229	0.101072	>gi|21242008|ref|NP_641590.1| isoleucyl-tRNA synthetase [Xanthomonas axonopodis pv. citri str. 306]
1230	0.388486	>gi|21242009|ref|NP_641591.1| lipoprotein signal peptidase [Xanthomonas axonopodis pv. citri str. 306]
1231	0.158703	>gi|21242010|ref|NP_641592.1| penicillin tolerance protein [Xanthomonas axonopodis pv. citri str. 306]
1232	0.407593	>gi|21242011|ref|NP_641593.1| cytochrome O ubiquinol oxidase subunit II [Xanthomonas axonopodis pv. citri str. 306]
1233	0.242383	>gi|21242012|ref|NP_641594.1| cytochrome O ubiquinol oxidase subunit I [Xanthomonas axonopodis pv. citri str. 306]
1234	0.577618	>gi|21242013|ref|NP_641595.1| cytochrome O ubiquinol oxidase subunit III [Xanthomonas axonopodis pv. citri str. 306]
1235	0.238759	>gi|21242014|ref|NP_641596.1| cytochrome O ubiquinol oxidase subunit IV [Xanthomonas axonopodis pv. citri str. 306]
1236	0.253444	>gi|21242015|ref|NP_641597.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1237	0.214192	>gi|21242016|ref|NP_641598.1| DNA repair protein [Xanthomonas axonopodis pv. citri str. 306]
1238	0.151290	>gi|21242017|ref|NP_641599.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1239	0.212961	>gi|21242018|ref|NP_641600.1| HrpG protein [Xanthomonas axonopodis pv. citri str. 306]
1240	0.160220	>gi|21242019|ref|NP_641601.1| HrpX protein [Xanthomonas axonopodis pv. citri str. 306]
1241	0.095690	>gi|21242020|ref|NP_641602.1| Hsp90xo protein [Xanthomonas axonopodis pv. citri str. 306]
1242	0.135087	>gi|21242021|ref|NP_641603.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1243	0.285310	>gi|21242022|ref|NP_641604.1| positive regulator of sigma-B [Xanthomonas axonopodis pv. citri str. 306]
1244	0.185569	>gi|21242023|ref|NP_641605.1| negative regulator of sigma-B [Xanthomonas axonopodis pv. citri str. 306]
1245	0.290373	>gi|21242024|ref|NP_641606.1| sigma-B negative effector [Xanthomonas axonopodis pv. citri str. 306]
1246	0.244081	>gi|21242025|ref|NP_641607.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1247	0.107260	>gi|21242026|ref|NP_641608.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
1248	0.189709	>gi|21242027|ref|NP_641609.1| histidine kinase-response regulator hybrid protein [Xanthomonas axonopodis pv. citri str. 306]
1249	0.428450	>gi|21242028|ref|NP_641610.1| xylosidase; arabinosidase [Xanthomonas axonopodis pv. citri str. 306]
1250	0.616302	>gi|21242029|ref|NP_641611.1| TonB-dependent receptor [Xanthomonas axonopodis pv. citri str. 306]
1251	0.189853	>gi|21242030|ref|NP_641612.1| thioredoxin [Xanthomonas axonopodis pv. citri str. 306]
1252	0.355180	>gi|21242031|ref|NP_641613.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1253	0.136688	>gi|21242032|ref|NP_641614.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1254	0.254203	>gi|21242033|ref|NP_641615.1| protein-glutamate methylesterase [Xanthomonas axonopodis pv. citri str. 306]
1255	0.091028	>gi|21242034|ref|NP_641616.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1256	0.128852	>gi|21242035|ref|NP_641617.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
1257	0.189011	>gi|21242036|ref|NP_641618.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
1258	0.263002	>gi|21242037|ref|NP_641619.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1259	0.664897	>gi|21242038|ref|NP_641620.1| endo-1,3-beta-glucanase [Xanthomonas axonopodis pv. citri str. 306]
1260	0.486142	>gi|21242039|ref|NP_641621.1| alpha-L-arabinosidase [Xanthomonas axonopodis pv. citri str. 306]
1261	0.296417	>gi|21242040|ref|NP_641622.1| aldose 1-epimerase [Xanthomonas axonopodis pv. citri str. 306]
1262	0.242889	>gi|21242041|ref|NP_641623.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1263	0.121278	>gi|21242042|ref|NP_641624.1| signal recognition particle protein [Xanthomonas axonopodis pv. citri str. 306]
1264	0.504956	>gi|21242043|ref|NP_641625.1| 2-nitropropane dioxygenase [Xanthomonas axonopodis pv. citri str. 306]
1265	0.493165	>gi|21242044|ref|NP_641626.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1266	0.347459	>gi|21242045|ref|NP_641627.1| 30S ribosomal protein S16 [Xanthomonas axonopodis pv. citri str. 306]
1267	0.125995	>gi|21242046|ref|NP_641628.1| 16S rRNA processing protein RimM [Xanthomonas axonopodis pv. citri str. 306]
1268	0.129232	>gi|21242047|ref|NP_641629.1| tRNA (guanine-N1-)-methyltransferase [Xanthomonas axonopodis pv. citri str. 306]
1269	0.189336	>gi|21242048|ref|NP_641630.1| 50S ribosomal protein L19 [Xanthomonas axonopodis pv. citri str. 306]
1270	0.441525	>gi|21242049|ref|NP_641631.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1271	0.234486	>gi|21242050|ref|NP_641632.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1272	0.212932	>gi|21242051|ref|NP_641633.1| transcriptional regulator [Xanthomonas axonopodis pv. citri str. 306]
1273	0.286062	>gi|21242052|ref|NP_641634.1| glutathione S-transferase [Xanthomonas axonopodis pv. citri str. 306]
1274	0.360961	>gi|21242053|ref|NP_641635.1| heat shock protein 15 homolog [Xanthomonas axonopodis pv. citri str. 306]
1275	0.207670	>gi|21242054|ref|NP_641636.1| catalase; peroxidase [Xanthomonas axonopodis pv. citri str. 306]
1276	0.581854	>gi|21242055|ref|NP_641637.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1277	0.140061	>gi|21242056|ref|NP_641638.1| DNA mismatch repair protein [Xanthomonas axonopodis pv. citri str. 306]
1278	0.729747	>gi|21242057|ref|NP_641639.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1279	0.847149	>gi|21242058|ref|NP_641640.1| wall-associated protein [Xanthomonas axonopodis pv. citri str. 306]
1280	0.254622	>gi|21242059|ref|NP_641641.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1281	0.261100	>gi|21242060|ref|NP_641642.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1282	0.200526	>gi|21242061|ref|NP_641643.1| beta-galactosidase [Xanthomonas axonopodis pv. citri str. 306]
1283	0.258366	>gi|21242062|ref|NP_641644.1| arabinogalactan endo-1,4-beta-galactosidase [Xanthomonas axonopodis pv. citri str. 306]
1284	0.658665	>gi|21242063|ref|NP_641645.1| TonB-dependent receptor [Xanthomonas axonopodis pv. citri str. 306]
1285	0.073875	>gi|21242064|ref|NP_641646.1| transcriptional regulator [Xanthomonas axonopodis pv. citri str. 306]
